text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
verde,red,left,incong,0,0,0,2,,,,,left,1,10.1261085771,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,0,1,1,1,,,,,right,1,1.34974777605,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,0,2,2,0,,,,,left,1,1.01698773618,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,0,3,3,2,,,,,left,1,1.18335208651,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,1,0,4,1,,,,,right,1,0.800211445228,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,1,1,5,0,,,,,left,1,0.933180287263,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,1,2,6,3,,,,,right,1,0.999983386447,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,1,3,7,3,,,,,right,1,0.883382292973,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,2,0,8,1,,,,,right,1,0.865167419311,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,2,1,9,2,,,,,left,1,0.849975457249,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,2,2,10,0,,,,,left,1,3.56461917204,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,2,3,11,0,,,,,left,1,0.583510670433,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,3,0,12,1,,,,,right,1,0.449215764752,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,3,1,13,3,,,,,right,1,0.333457053964,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,3,2,14,2,,,,,left,1,0.416438733745,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,3,3,15,3,,,,,right,1,0.450440259172,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,0,0,0,3,right,1,0.983606953528,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,0,1,1,2,left,1,0.334038150761,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,0,2,2,1,right,1,0.26719691592,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,0,3,3,0,left,1,0.418193729139,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,1,0,4,1,right,1,0.36717237317,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,1,1,5,0,left,1,0.433470269291,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,1,2,6,3,right,1,0.400505958225,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,1,3,7,1,right,1,0.533807826494,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,2,0,8,1,right,1,0.833719850176,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,2,1,9,3,right,1,0.55059242422,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,2,2,10,3,right,1,0.467295464499,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,2,3,11,2,left,1,0.284429324432,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,3,0,12,1,left,0,0.633656416608,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,3,1,13,1,right,1,0.550741191041,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,3,2,14,3,right,1,0.450186147316,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,3,3,15,0,left,1,0.583414387337,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,4,0,16,2,left,1,0.733300735527,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,4,1,17,3,right,1,0.49989578771,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,4,2,18,1,right,1,0.650747987495,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,4,3,19,1,right,1,0.467098367341,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,5,0,20,3,right,1,0.532696606304,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,5,1,21,2,left,1,0.450629049554,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,5,2,22,0,left,1,0.483777620033,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,green,right,incong,,,,,5,3,23,3,right,1,0.667890154204,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,green,right,cong,,,,,6,0,24,1,right,1,0.59989125674,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,6,1,25,0,left,1,0.533167827098,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
verde,red,left,incong,,,,,6,2,26,2,left,1,0.36701945296,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
rojo,red,left,cong,,,,,6,3,27,0,left,1,0.384110268687,2018_Dec_08_1740,60.0487928752,stroop_simple_spa,01,aran,
