text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,red,left,cong,0,0,0,0,,,,,left,1,0.401925284317,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,0,1,1,1,,,,,right,1,0.434109135946,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,0,2,2,2,,,,,left,1,0.367440077935,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,0,3,3,2,,,,,left,1,0.417102520729,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,1,0,4,3,,,,,right,1,0.6493679298,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,1,1,5,0,,,,,left,1,0.418717056076,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,1,2,6,1,,,,,right,1,0.333941112505,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,1,3,7,3,,,,,right,1,0.45065057166,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,2,0,8,0,,,,,left,1,0.383650752898,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,2,1,9,1,,,,,right,1,0.368071770554,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,2,2,10,2,,,,,left,1,0.417204467536,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,2,3,11,1,,,,,left,0,0.417248644488,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,3,0,12,2,,,,,left,1,0.583384180878,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,3,1,13,3,,,,,right,1,0.416229931579,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,3,2,14,3,,,,,left,0,0.600550135176,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,3,3,15,0,,,,,left,1,0.533158387578,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,0,0,0,2,right,0,0.732260122943,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,0,1,1,0,left,1,0.867037199256,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,0,2,2,0,left,1,0.38401285285,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,0,3,3,2,right,0,0.600296778481,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,1,0,4,1,right,1,0.68294505445,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,1,1,5,1,right,1,0.517377777105,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,1,2,6,3,right,1,0.467143677033,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,1,3,7,3,right,1,0.383927519597,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,2,0,8,3,right,1,0.399959221279,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,2,1,9,2,left,1,0.45107686034,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,2,2,10,2,left,1,0.384023802693,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,2,3,11,1,right,1,0.617492561658,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,3,0,12,1,right,1,0.435032320915,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,3,1,13,2,left,1,0.433108924499,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,3,2,14,1,right,1,0.666821223062,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,3,3,15,0,left,1,0.699074549546,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,4,0,16,0,left,1,0.383940734922,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,4,1,17,3,right,1,0.418157481385,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,4,2,18,3,right,1,0.467475570524,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,4,3,19,3,right,1,0.367448762288,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,5,0,20,1,right,1,0.601270936855,2018_Dec_08_2144,60.2700322461,stroop_simple_spa,01,guille,
