text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
azul,blue,right,cong,0,0,0,9,,,,,right,1,0.766775158208,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,green,down,cong,0,1,1,4,,,,,down,1,0.867473305043,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,red,left,cong,0,2,2,0,,,,,left,1,0.518097068463,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,blue,right,cong,0,3,3,8,,,,,right,1,1.39911193004,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,red,left,cong,0,4,4,1,,,,,left,1,0.517422331635,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,blue,right,incong,0,5,5,7,,,,,right,1,0.682006766248,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,green,down,cong,0,6,6,5,,,,,left,0,0.667690791561,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,red,left,incong,0,7,7,10,,,,,left,1,0.683849360375,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,red,left,incong,0,8,8,10,,,,,left,1,0.733579390129,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,green,down,incong,0,9,9,11,,,,,down,1,0.666921281962,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,red,left,cong,0,10,10,0,,,,,left,1,0.599940719821,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,green,down,incong,0,11,11,2,,,,,down,1,1.14854291583,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,blue,right,incong,1,0,12,7,,,,,right,1,0.6003356693,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,blue,right,cong,1,1,13,9,,,,,right,1,0.41744913987,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,red,left,incong,1,2,14,6,,,,,left,1,1.96611816767,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,red,left,cong,1,3,15,1,,,,,left,1,0.633679449034,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,green,down,incong,1,4,16,2,,,,,down,1,1.83278986875,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,blue,right,cong,1,5,17,8,,,,,right,1,0.683582033194,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,green,down,cong,1,6,18,4,,,,,down,1,1.93251008141,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,blue,right,incong,1,7,19,3,,,,,right,1,0.700990771926,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,green,down,cong,1,8,20,5,,,,,down,1,0.533312062951,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,green,down,incong,1,9,21,11,,,,,down,1,1.1993090272,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,red,left,incong,1,10,22,6,,,,,left,1,0.550736660072,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,blue,right,incong,1,11,23,3,,,,,right,1,0.350637733911,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,blue,right,incong,,,,,0,0,0,7,right,1,0.599188578937,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
verde,blue,right,incong,,,,,0,1,1,7,right,1,0.466977919077,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
azul,blue,right,cong,,,,,0,2,2,8,right,1,0.383447992026,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
rojo,red,left,cong,,,,,0,3,3,1,left,1,0.868072525711,2018_Dec_08_2233,60.0143666117,stroop_red-green-blue_spa,01,,
