text,letterColor,corrAns,congruent,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,resp.keys,resp.corr,resp.rt,date,frameRate,expName,session,participant,
rojo,green,right,incong,0,0,0,3,,,,,right,1,0.733239945024,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,0,1,1,2,,,,,left,1,0.466321306129,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,0,2,2,0,,,,,left,1,0.417363806617,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,0,3,3,0,,,,,left,1,0.499727386687,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,1,0,4,1,,,,,right,1,0.551130099226,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,1,1,5,1,,,,,right,1,0.567175016236,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,1,2,6,2,,,,,left,1,0.650287338962,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,1,3,7,1,,,,,left,0,0.400488967087,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,2,0,8,2,,,,,left,1,0.533473667518,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,2,1,9,3,,,,,right,1,0.449730407334,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,2,2,10,0,,,,,left,1,0.448850644152,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,2,3,11,0,,,,,left,1,0.433659059672,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,3,0,12,2,,,,,left,1,0.417178792042,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,3,1,13,3,,,,,right,1,0.400562972918,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,3,2,14,1,,,,,right,1,0.350142347947,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,3,3,15,3,,,,,right,1,0.368900937909,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,0,0,0,0,left,1,1.16663243268,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,0,1,1,0,left,1,0.500352282852,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,0,2,2,0,left,1,0.349984141605,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,0,3,3,1,right,1,0.417283759496,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,1,0,4,2,left,1,0.482465526875,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,green,right,incong,,,,,1,1,5,3,right,1,0.683693041941,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,1,2,6,0,left,1,0.583909395722,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,1,3,7,1,right,1,0.467062497166,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
rojo,red,left,cong,,,,,2,0,8,0,left,1,0.45056825905,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,red,left,incong,,,,,2,1,9,2,right,0,0.467249399644,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
verde,green,right,cong,,,,,2,2,10,1,right,1,0.566750237875,2018_Dec_08_2154,60.033411838,stroop_simple_spa,01,guille,
